scenario,seed,simulation_time_seconds,intersection_id,queue_length,vehicle_count,mean_speed_mps,throughput_vehicles,tls_phase
low,42,300,cluster_772156519_772183645,0.2,0.3333333333333333,2.2791982884496207,2,0
low,42,300,joinedS_3841825190_cluster_367567700_772275036,0.0,0.1,8.51415759886745,0,1
low,42,360,6510829334,0.0,0.0,0.0,0,2
low,42,360,772009950,0.0,0.0,0.0,0,2
low,42,360,772249131,0.0,0.0,0.0,0,2
low,42,360,GS_772276149,0.0,0.0,0.0,0,5
low,42,360,cluster_367567689_6510829338,0.0,0.03333333333333333,8.368981659612245,1,4
low,42,360,cluster_368825355_772192674_9246233634,0.8166666666666667,1.1166666666666667,2.044547719212757,0,4
low,42,360,cluster_370330726_6544892748_772027151,0.0,0.3,7.690059775880068,1,3
low,42,360,cluster_482350926_6510829336_772206492,1.05,1.8,2.90923443140831,6,3
low,42,360,cluster_4961905688_6510829310_771983339_772054674_#2more,0.4,0.5666666666666667,2.03942290651059,2,4
low,42,360,cluster_6510829335_772038986,0.0,0.11666666666666667,11.04913152595773,1,3
low,42,360,cluster_771987417_772142429_772237953_8821814562,0.0,0.21666666666666667,8.276351152033678,4,2
low,42,360,cluster_772070536_772172281,0.18333333333333332,0.3333333333333333,3.613947827456297,0,3
low,42,360,cluster_772156519_772183645,0.75,0.8166666666666667,0.42810842836228624,0,3
low,42,360,joinedS_3841825190_cluster_367567700_772275036,0.95,1.0,0.220146145332015,0,5
low,42,420,6510829334,0.0,0.0,0.0,0,0
low,42,420,772009950,0.0,0.0,0.0,0,0
low,42,420,772249131,0.0,0.05,8.226816140456743,1,0
low,42,420,GS_772276149,0.1,0.15,1.6747516355310843,0,3
low,42,420,cluster_367567689_6510829338,0.0,0.31666666666666665,10.721418404835667,2,2
low,42,420,cluster_368825355_772192674_9246233634,0.3333333333333333,0.5666666666666667,2.550019455032422,1,2
low,42,420,cluster_370330726_6544892748_772027151,0.5166666666666667,0.9,3.2073511489174176,1,2
low,42,420,cluster_482350926_6510829336_772206492,0.0,0.6666666666666666,7.1864798787745725,2,2
low,42,420,cluster_4961905688_6510829310_771983339_772054674_#2more,0.5,0.55,0.26466563865028997,1,2
low,42,420,cluster_6510829335_772038986,0.0,0.13333333333333333,10.409191223823518,1,0
low,42,420,cluster_771987417_772142429_772237953_8821814562,0.0,0.06666666666666667,10.264692411533137,1,0
low,42,420,cluster_772070536_772172281,0.0,0.0,0.0,0,2
low,42,420,cluster_772156519_772183645,0.0,0.03333333333333333,8.88624383859068,1,2
low,42,420,joinedS_3841825190_cluster_367567700_772275036,0.0,0.08333333333333333,11.447277570584884,1,3
low,42,480,6510829334,0.0,0.03333333333333333,12.422865190611684,1,0
low,42,480,772009950,0.0,0.18333333333333332,11.188120064680662,1,0
low,42,480,772249131,0.0,0.31666666666666665,8.596366385516513,2,0
low,42,480,GS_772276149,0.5166666666666667,0.7,1.5681602780978043,1,1
low,42,480,cluster_367567689_6510829338,0.0,0.0,0.0,0,0
low,42,480,cluster_368825355_772192674_9246233634,0.0,0.0,0.0,0,0
low,42,480,cluster_370330726_6544892748_772027151,0.0,0.3333333333333333,7.583546684408435,2,0
low,42,480,cluster_482350926_6510829336_772206492,1.0,1.8,2.99349733790299,1,0
low,42,480,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.016666666666666666,6.552591773561187,1,0
low,42,480,cluster_6510829335_772038986,0.06666666666666667,0.3333333333333333,5.452265849609498,2,0
low,42,480,cluster_771987417_772142429_772237953_8821814562,0.0,0.03333333333333333,8.898999740272206,1,0
low,42,480,cluster_772070536_772172281,0.0,0.11666666666666667,8.314952311885845,1,0
low,42,480,cluster_772156519_772183645,0.0,0.03333333333333333,8.52226902402665,1,0
low,42,480,joinedS_3841825190_cluster_367567700_772275036,1.4,1.5833333333333333,0.6617862697320835,0,1
low,42,540,6510829334,0.0,0.11666666666666667,9.730034345889397,2,2
low,42,540,772009950,0.0,0.0,0.0,0,2
low,42,540,772249131,0.0,0.0,0.0,0,2
low,42,540,GS_772276149,0.25,0.43333333333333335,2.616548352035406,0,5
low,42,540,cluster_367567689_6510829338,0.2833333333333333,0.55,4.02985337060552,1,4
low,42,540,cluster_368825355_772192674_9246233634,0.5166666666666667,0.6333333333333333,1.2362870168519742,0,4
low,42,540,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,3
low,42,540,cluster_482350926_6510829336_772206492,0.5166666666666667,1.4,4.152394791285597,4,3
low,42,540,cluster_4961905688_6510829310_771983339_772054674_#2more,0.6666666666666666,0.9,1.8009624203405235,0,4
low,42,540,cluster_6510829335_772038986,0.0,0.5666666666666667,9.375133091539343,4,3
low,42,540,cluster_771987417_772142429_772237953_8821814562,0.0,0.0,0.0,0,2
low,42,540,cluster_772070536_772172281,0.38333333333333336,0.5,1.9999642835371616,0,3
low,42,540,cluster_772156519_772183645,0.16666666666666666,0.21666666666666667,1.6917499275028125,0,3
low,42,540,joinedS_3841825190_cluster_367567700_772275036,0.5,0.5,3.4540191002190433e-06,1,5
low,42,600,6510829334,0.0,0.06666666666666667,9.329804871673414,2,0
low,42,600,772009950,0.0,0.0,0.0,0,0
low,42,600,772249131,0.0,0.03333333333333333,8.946341282571666,1,0
low,42,600,GS_772276149,0.0,0.016666666666666666,9.788551304125814,1,3
low,42,600,cluster_367567689_6510829338,0.0,0.0,0.0,0,2
low,42,600,cluster_368825355_772192674_9246233634,0.0,0.25,8.903388473453267,2,2
low,42,600,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,2
low,42,600,cluster_482350926_6510829336_772206492,1.1666666666666667,2.4,3.1593724805180585,4,2
low,42,600,cluster_4961905688_6510829310_771983339_772054674_#2more,0.6333333333333333,0.9166666666666666,2.0750894641353477,3,2
low,42,600,cluster_6510829335_772038986,0.0,0.2833333333333333,9.47724074807965,4,0
low,42,600,cluster_771987417_772142429_772237953_8821814562,0.0,0.3,8.643272217148898,5,0
low,42,600,cluster_772070536_772172281,0.0,0.0,0.0,0,2
low,42,600,cluster_772156519_772183645,0.0,0.016666666666666666,12.282558771576001,1,2
low,42,600,joinedS_3841825190_cluster_367567700_772275036,0.23333333333333334,0.4166666666666667,2.5760718432534664,0,3
low,42,660,6510829334,0.0,0.08333333333333333,9.389679976554694,2,0
low,42,660,772009950,0.0,0.2,9.73591061355867,1,0
low,42,660,772249131,0.0,0.11666666666666667,11.082978163229685,1,0
low,42,660,GS_772276149,0.23333333333333334,0.6,3.5214946160886464,2,1
low,42,660,cluster_367567689_6510829338,0.3,0.45,2.5713372147127522,1,0
low,42,660,cluster_368825355_772192674_9246233634,0.016666666666666666,0.2833333333333333,7.411413249124625,3,0
low,42,660,cluster_370330726_6544892748_772027151,0.0,0.06666666666666667,8.476640393854684,1,0
low,42,660,cluster_482350926_6510829336_772206492,0.03333333333333333,1.2,7.588138475862154,2,0
low,42,660,cluster_4961905688_6510829310_771983339_772054674_#2more,0.9666666666666667,1.05,0.411512853267577,4,0
low,42,660,cluster_6510829335_772038986,0.0,0.08333333333333333,8.984210413921044,2,0
low,42,660,cluster_771987417_772142429_772237953_8821814562,0.0,0.15,9.357892753168668,3,0
low,42,660,cluster_772070536_772172281,0.0,0.05,11.3193581458428,1,0
low,42,660,cluster_772156519_772183645,0.4,0.4666666666666667,0.7501883021652308,1,0
low,42,660,joinedS_3841825190_cluster_367567700_772275036,0.0,0.0,0.0,0,1
low,42,720,6510829334,0.0,0.03333333333333333,11.594203766110292,1,2
low,42,720,772009950,0.0,0.0,0.0,0,2
low,42,720,772249131,0.0,0.0,0.0,0,2
low,42,720,GS_772276149,1.3833333333333333,1.7166666666666666,1.3498552402413062,1,5
low,42,720,cluster_367567689_6510829338,0.48333333333333334,0.6333333333333333,1.8676764101576349,1,4
low,42,720,cluster_368825355_772192674_9246233634,0.7166666666666667,0.8333333333333334,0.9706322738247269,0,4
low,42,720,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,3
low,42,720,cluster_482350926_6510829336_772206492,0.7833333333333333,1.8,4.222623934302611,4,3
low,42,720,cluster_4961905688_6510829310_771983339_772054674_#2more,0.2833333333333333,0.43333333333333335,2.9905964292791105,2,4
low,42,720,cluster_6510829335_772038986,0.0,0.3,10.28784272129673,3,3
low,42,720,cluster_771987417_772142429_772237953_8821814562,0.0,0.08333333333333333,9.738215495131362,2,2
low,42,720,cluster_772070536_772172281,0.0,0.0,0.0,0,3
low,42,720,cluster_772156519_772183645,0.8833333333333333,1.0333333333333334,0.6218900057762812,0,3
low,42,720,joinedS_3841825190_cluster_367567700_772275036,0.0,0.0,0.0,0,5
low,42,780,6510829334,0.0,0.06666666666666667,10.417152126681053,2,0
low,42,780,772009950,0.0,0.0,0.0,0,0
low,42,780,772249131,0.0,0.0,0.0,0,0
low,42,780,GS_772276149,0.0,0.0,0.0,0,3
low,42,780,cluster_367567689_6510829338,0.0,0.18333333333333332,10.834119849999304,1,2
low,42,780,cluster_368825355_772192674_9246233634,0.35,0.75,4.580098883992208,4,2
low,42,780,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,2
low,42,780,cluster_482350926_6510829336_772206492,0.7666666666666667,1.2666666666666666,2.6323475338455906,3,2
low,42,780,cluster_4961905688_6510829310_771983339_772054674_#2more,0.26666666666666666,0.4,2.2754564426484465,2,2
low,42,780,cluster_6510829335_772038986,0.0,0.2,11.048778653984149,3,0
low,42,780,cluster_771987417_772142429_772237953_8821814562,0.0,0.3,9.905374315275953,5,0
low,42,780,cluster_772070536_772172281,0.0,0.0,0.0,0,2
low,42,780,cluster_772156519_772183645,0.016666666666666666,0.05,1.824842552829421,1,2
low,42,780,joinedS_3841825190_cluster_367567700_772275036,0.0,0.0,0.0,0,3
low,42,840,6510829334,0.0,0.03333333333333333,12.821995181230136,1,0
low,42,840,772009950,0.0,0.0,0.0,0,0
low,42,840,772249131,0.0,0.03333333333333333,9.752965657567497,0,0
low,42,840,GS_772276149,0.0,0.0,0.0,0,1
low,42,840,cluster_367567689_6510829338,0.36666666666666664,0.5,1.4714264232710947,1,0
low,42,840,cluster_368825355_772192674_9246233634,0.3333333333333333,0.5166666666666667,2.914269189930352,2,0
low,42,840,cluster_370330726_6544892748_772027151,0.0,0.0,0.0,0,0
low,42,840,cluster_482350926_6510829336_772206492,1.4,2.466666666666667,3.1105770168215643,2,0
low,42,840,cluster_4961905688_6510829310_771983339_772054674_#2more,0.0,0.016666666666666666,8.672255931021363,1,0
low,42,840,cluster_6510829335_772038986,0.05,0.26666666666666666,7.303626984458953,2,0
low,42,840,cluster_771987417_772142429_772237953_8821814562,0.0,0.1,9.525247140951741,2,0
low,42,840,cluster_772070536_772172281,0.0,0.1,9.337610931142747,1,0
low,42,840,cluster_772156519_772183645,0.0,0.0,0.0,0,0
low,42,840,joinedS_3841825190_cluster_367567700_772275036,0.0,0.0,0.0,0,1
low,42,900,6510829334,0.0,0.0,0.0,0,2
low,42,900,772009950,0.0,0.13333333333333333,11.006478972746704,0,2
low,42,900,772249131,0.0,0.0,0.0,0,2
low,42,900,GS_772276149,0.0,0.0,0.0,0,5
low,42,900,cluster_367567689_6510829338,0.6,0.8166666666666667,1.64449806266432,1,4
low,42,900,cluster_368825355_772192674_9246233634,1.0166666666666666,1.3333333333333333,1.7254249570500981,0,4
low,42,900,cluster_370330726_6544892748_772027151,0.0,0.016666666666666666,8.3368314198123,0,3
